Speaker,Time,Date,Duration,Operator,Notes,Commander,Notes,Command and Control,Notes,Critical Functions,Notes,Consequence,Notes,AWS as a Whola,Notes,Study or pre-R&D,Notes,R&D,Notes,Aquisition,Notes,Deployment,Notes,Use,Notes,Post-Use,Notes,Life Cycle,Notes,Parameters of use,Notes,Environment,Notes,Human-Machine Interaction,Notes
PAKISTAN,10:57:09,0:00:00,0:07:36,,,,,,,[99] Something else,"ENG/c/t/: [binary moment] Mr. Chair, we believe like many others that autonomy is across the spectrum. The spectrum ranges from fully manual systems where humans make all critical decisions to fully autonomous systems which can select and engage targets without further human intervention. [...] This capacity for independent operation without the need for a direct human control in real time decision making encapsulates the absolute nature of autonomy.  [...] We believe that that threshold is very adequately captured in the language that has come from different proposals and that has been put forward in your remarks as well, which we have discussed in terms of selection and engagement of targets without further human intervention.",,,,,,,[04] Support,DEV: the development and operational context of weapon system might involve a nuanced spectrum of human machine interaction and collaboration,,,,,,,,,,,,,,,[04] Support,"In other words, while the development and operational context of weapon system might involve a nuanced spectrum of human machine interaction and collaboration, the classification of system as autonomous is binary."
G16,10:57:02,0:00:00,0:04:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[99] Something else,"In view of the above, we would like to propose that our work in the GGE may be organized as per the following topics: [human machine interaction]"
MEXICO,15:44:40,0:00:00,0:08:46,,,,,,,,,,,,,[04] Support,"risks of excluding human control, especially when it relates to technical requirements for the operation of lethal weapons systems through preprogrammed profiles, information on the environment through sensors analysis of the information being collected by sensors and applied through the existing or preexisting profiles",[04] Support,"DEV: [risks] are related to the situation when laws are being developed, when they are not placed under meaningful human control so they are not in a position to comply with IHL or other existing legal standards due to their nature or the way they operate.",,,,,,,,,,,,,[99] Something else,"[computer vision] en laws are being developed, when they are not placed under meaningful human control so they are not in a position to comply with IHL or other existing legal standards due to their nature or the way they operate. In this aspect we believe that the following risks arise. The first, the risks of excluding human control, especially when it relates to technical requirements for the operation of lethal weapons systems through preprogrammed profiles, information on the environment through sensors analysis of the information being collected by sensors and applied through the existing or preexisting profiles. Mexico believes that such processes cannot replace human judgment",,
JAPAN,17:01:25,0:00:00,0:03:55,,,,,[04] Support,important to consider the way to make sure that humans are involved responsibly throughout the weapons life cycle and especially that such weapon system should be used under the responsibility of the human command and control,,,,,,,,,,,,,,,[03] Direct use,"Use: [responsibility, not control?]  such weapon system should be used under the responsibility of the human command and control. Indeed, there is a consensus among many countries on the importance of this human responsibility.",,,[04] Support,make sure that humans are involved responsibly throughout the weapons life cycle,,,,,,
JAPAN,15:39:40,0:00:00,0:07:36,,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: [metadiscourse] I think this future discussion should be based on prohibition and regulations and also it is related to human control and applications. We do not agree on the use of human control. We have other way of naming this. In general, we agree on your understanding.",,,,,,,,,,
UNITED STATES,17:11:46,0:00:00,0:07:32,,,,,[04] Support,"with regard to the risk noted in the list as loss of human control in the first bullet, we would point to the 2019 report where we have several paragraphs that reflect this general concern such as guiding principle D which refers to a responsible chain of human command and control.",[99] Something else,ENG/t: [unintended engagements],,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL,15:59:21,0:00:00,0:06:19,,,,,,,,,,,,,[00] Oppose,"human control, it is not a overreaching requirement under the IHL",,,,,,,,,,,,,,,,,,
BULGARIA,12:16:39,0:00:00,0:02:26,,,,,,,[01] Caveat,"TGT: The extent and type of human control depends on the complexity of the operational environment on the intricate characteristics of the weapon systems themselves and their capabilities and capacities and also on the intended use and assignment tasks to be performed. To ensure employment of such weapons systems fully complies with IHL and its key principles human control must be preserved and retained at the various phases of research development, validation deployment and use of autonomous weapons systems. But for us primarily in the targeting cycle as ICRC pointed out yesterday IHL does not technically demand existing human control in all stages but requires control of the effects use of force of weapon systems.",,,,,,,[04] Support,"r/DEV: To ensure employment of such weapons systems fully complies with IHL and its key principles human control must be preserved and retained at the various phases of research development, validation deployment and use of autonomous weapons systems.",[04] Support,"VAL: To ensure employment of such weapons systems fully complies with IHL and its key principles human control must be preserved and retained at the various phases of research development, validation deployment and use of autonomous weapons systems.",[04] Support,"DEPLOY: To ensure employment of such weapons systems fully complies with IHL and its key principles human control must be preserved and retained at the various phases of research development, validation deployment and use of autonomous weapons systems.",[01] Caveat,Use: To ensure employment of such weapons systems fully complies with IHL and its key principles human control must be preserved and retained at the various phases of [...] use of autonomous weapons systems. But for us primarily in the targeting cycle as ICRC pointed out yesterday IHL does not technically demand existing human control in all stages but requires control of the effects use of force of weapon systems.,[04] Support,EF: for us primarily in the targeting cycle as ICRC pointed out yesterday IHL does not technically demand existing human control in all stages but requires control of the effects use of force of weapon systems.,,,,,[03] Direct use,The extent and type of human control depends on the complexity of the operational environment on the intricate characteristics of the weapon systems themselves and their capabilities and capacities and also on the intended use and assignment tasks to be performed,,
BELGIUM,16:43:32,0:00:00,0:05:11,,,,,,,[04] Support,"TGT/ENG: autonomous weapons systems that cannot be used in keeping with IHL. The latter type of weapon includes those who were created or used so as to ensure that their effects are not understood or explained well enough beforehand as well as those that do not have significant human control over their function such as the identification, the selection and the engagement of the target",,,,,[04] Support,"The distinction of proportionality and precaution means that we have to have guidelines and clear rules when it comes to requirements for human behavior during the development, the deployment or the use of these systems by focusing on maintaining significant human control but also in terms of responsibility and accountability throughout the entire life cycle.",[04] Support,DEV: have to have guidelines and clear rules when it comes to requirements for human behavior during the development,,,[04] Support,DEPLOY: deployment or the use of these systems by focusing on maintaining significant human control,[04] Support,"Use: we have to have guidelines and clear rules when it comes to requirements for human behavior during the development, the deployment or the use of these systems by focusing on maintaining significant human control but also in terms of responsibility and accountability throughout the entire life cycle.",[04] Support,EF: the two-tier approach is based on a prohibition of autonomous weapons systems focusing on complete prohibition of a system [...] has indiscriminate effects [...] The latter type of weapon includes those who were created or used so as to ensure that their effects are not understood or explained well enough beforehand [...] ,[04] Support,"the interaction between humans and machines can take different forms and can take place at different stages of the life cycle of a weapon and so the regulatory and operational framework should be based on the process and it depends on the context, including the technical characteristics of the system, of the environment in which this is being used as well as the type of interaction between the human and the machine which should have significant human control. [...] The distinction of proportionality and precaution means that we have to have guidelines and clear rules when it comes to requirements for human behavior during the development, the deployment or the use of these systems by focusing on maintaining significant human control but also in terms of responsibility and accountability throughout the entire life cycle.",,,[04] Support,"interaction between humans and machines can take different forms and can take place at different stages of the life cycle of a weapon and so the regulatory and operational framework should be based on the process and it depends on the context, including the technical characteristics of the system, of the environment in which this is being used as well as the type of interaction between the human and the machine which should have significant human control. According to Belgium, the two-tier approach is based on a prohibition of autonomous weapons systems focusing on complete prohibition of a system that would be in IHL because it could cause suffering because it has indiscriminate effects or that they were created to cause or we might expect that they cause extended long lasting and serious damage to the natural environment",,
FRANCE,16:13:51,0:00:00,0:03:41,,,,,,,,,,,,,,,,,[99] Something else,"VAL: [characterization] fully autonomous weapon system and a system acting without any form of human supervision or subordination of a chain of command, this is a system which could fulfill tasks in a complex environment and assign itself objectives above and beyond its initial programming and without human validation",,,[99] Something else,"ACT: [nominal human input] nominal human input which was raised by several Delegations and they raised several questions about it, we would agree with what Germany has said as well as other Delegations as to this concept of nominal human input and we would prefer to avoid that concept which is not between systems which are activated in a specific predefined framework by humans vis-a-vis systems that operate outside of the setting defined by humans",,,,,,,[04] Support,"fully autonomous weapon system and a system acting without any form of human supervision or subordination of a chain of command, this is a system which could fulfill tasks in a complex environment and assign itself objectives above and beyond its initial programming and without human validation.",,
FRANCE,10:20:38,0:00:00,0:06:55,,,,,,,[04] Support,"CF/TGT/ENG: fully autonomous and the systems that integrate autonomy. So the former, fully autonomous, they operate without human oversight. They themselves can appoint for themselves targets in a complicated environment and over and above their initial programming without being subjected at all to the command chain. Whereas for the second category, that is systems that include autonomy, they are always under human control which is why we call partially autonomous weapons systems. So in this latter category, the decision-taking functions of the system are supported to human intervention and under their responsibility and this is an important criteria to bear in mind, responsibility. And this partially autonomous system can also be endowed for a restricted space and under certain guarantees to carry out some tasks that are part of critical aspects such as identification, classification, interception or engaging.",,,,,,,,,,,,,,,,,,,,,[04] Support,"fully autonomous, they operate without human oversight. They themselves can appoint for themselves targets in a complicated environment",,
FINLAND,15:22:51,0:00:00,0:04:04,,,,,,,,,[99] Something else,ATK/c: [not related to the consequences of an attack] sufficient human involvement across the entire life cycle of weapons system does not require the technical ability to cancel an already commended attack.,,,,,[04] Support,DEV: systems operating without sufficient human involvement should not be developed or used,,,[04] Support,DEPLOY/p/sop: Sufficient human involvement throughout the whole life cycle of a weapons system is at the core of the legal design and deployment of weapons system incorporating autonomous features or functions,[04] Support,Use: Our baseline is that autonomous weapons systems operating without sufficient human involvement should not be developed or used. But a sufficient level of human involvement should be at the core of our discussions,,,[99] Something else,sufficient human involvement across the entire life cycle of weapons system does not require the technical ability to cancel an already commended attack.,,,,,,
SRI LANKA,10:51:42,0:00:00,0:03:09,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: Responsible chain of command and human control on use of weapons systems should be retained in the entire life cycle,,,[04] Support,chain of command and human control on use of weapons systems should be retained in the entire life cycle of the autonomous weapon systems,,,,,,
G15,12:30:12,0:00:00,0:05:21,,,,,,,,,,,,,,,,,,,,,,,,,[04] Support,meaningful human control must be retained throughout the life cycle,,,,,,
BRAZIL,11:37:09,0:00:00,0:03:47,,,,,,,,,,,[04] Support,CTRLOFL: importance of elements of space and time as key elements for human control from the control of lethal autonomous weapons systems,,,,,,,,,,,,,,,,,,,,
RUSSIAN FEDERATION,17:21:52,0:00:00,0:26:50,,,,,,,,,,,,,,,,,,,,,,,[99] Something else,"AS: meaningful human control, the level of human involvement [...] definitions related to laws of certain categories that represent assessments rather than representing legal concepts",,,,,,,,
INDIA,10:31:41,0:00:00,0:03:45,,,,,,,[99] Something else,"ENG/t: [unintended engagements] Unintended engagements, loss of control over a system, loss of human control, lack of human judgment, difficulty in assigning responsibility and these kind of issues could be grouped under an operational risk.",,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,10:24:06,0:00:00,0:08:16,,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: [deployment][post-use] That is why we consider that human control is essential in order to take into account the appropriate measures in order to define the context of use of the system, to guarantee that it is used lawfully, but also to ensure responsibility in case of violation of international humanitarian law.",,,,,,,,,,
UNITED STATES,17:07:39,0:00:00,0:10:36,,,,,,,,,,,,,,,,,,,,,[00] Oppose,"Use: [on risk mitigation measures] How you control the weapon system, you know, we see as a function of the use of the weapon and it is not an attribute of making the weapon intrinsically by nature prohibited. So favor moving the discussion on these aspects, you know, to the second tier of talking about use.",,,,,,,,,,
CUBA,16:15:40,0:00:00,0:03:40,,,,,,,,,,,,,,,[04] Support,"DEV: autonomous weapon that does not meet the provisions of international law including IHL must be banned even before they begin to be developed and used in large scale and to be deployed. This is a preventive approach based on the principle of precaution. Systems that do not guarantee significant human oversight nor do predictability, trustability, traceability, reliability and cannot be explained cannot be developed either.",,,[04] Support,DEPLOY: autonomous weapon that does not meet the provisions of international law including IHL must be banned even before they begin to be developed and used in large scale and to be deployed,[04] Support,Use: Autonomous weapon systems and semi-autonomous weapon systems must be considered in the context of the observance of international law which means that all and any autonomous weapon that does not meet the provisions of international law including IHL must be banned even before they begin to be developed and used in large scale and to be deployed.,,,,,,,,,,
SWITZERLAND,17:01:27,0:00:00,0:05:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUBA,16:27:49,0:00:00,0:04:06,,,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [CBM],,,,,,,,,,
TÜRKİYE,15:19:21,0:00:00,0:02:59,,,,,,,[98] Unclear,"TGT/e: Mr. Chair, the international humanitarian law also applies to laws as is the case for all weapons. Development, production and use of laws that do not make a distinction by their nature are already prohibited by the 1949 Geneva Convention. Systems that perform in all steps of the targeting cycle outside of any form of human control or supervision are not technically feasible, militarily desirable or legally permissible in terms of IHL.",,,,,,,[03] Direct use,"DEV: international humanitarian law also applies to laws as is the case for all weapons. Development, production and use of laws that do not make a distinction by their nature are already prohibited by the 1949 Geneva Convention",,,,,[99] Something else,Use/a: [IHL],,,,,,,,,,
UNITED KINGDOM,16:39:58,0:00:00,0:03:20,,,,,,,[01] Caveat,"TGT/ENG: on targeting humans directly does not reflect any existing rule of IHL. There is separate work to be done on whether there is a case to create such a rule and it is clear that the views on that matter differ across this room. We would propose, therefore, that this would be a matter for a discrete area of work should this group deign for that to engage in that potential course. As this particular text risks conflating as such this particular text risks conflating inherent requirements of IHL with the behaviors that enable compliance with it. [...]. We provide a firm category from which to launch the work on the question of necessary human involvement, restrictions on types of target and other regulatory measures as contemplated by the two-tier approach.",,,,,[04] Support,attribution concerns the secondary obligations which fall from the requirements to ensure respect and state responsibility. [...] As this particular text risks conflating as such this particular text risks conflating inherent requirements of IHL with the behaviors that enable compliance with it.,[99] Something else,DEV: develop international law,,,,,[99] Something else,Use: It is using the chapeau in using the chapeau as the US suggests of laws incapable of use in accordance with IHL.,,,,,,,,,,
GERMANY,10:56:37,0:00:00,0:01:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),12:06:03,0:00:00,0:04:09,,,,,,,,,,,,,,,[04] Support,DEV: total prohibition of the development of laws that operate without any meaningful and direct human control,,,,,,,,,,,,,,,,
CHINA,10:44:38,0:00:00,0:03:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERU,11:13:43,0:00:00,0:03:01,,,,,,,,,,,,,[04] Support,"capacity to understand and explain the functioning of the weapons system, looking to be able to provide a retrospective explanation which would satisfy legal and other types of requirements relating to the functioning of the weapons system, including attribution of responsibility and accountability",,,,,,,[04] Support,"Use/ACT: This refers to maintaining human actions and their preservation of a judgment and human intervention over and above the use of force. This, amongst other aspects, includes the following elements: One, the capacity to redefine or amend the objectives or missions of the weapons system or to adapt it in another way to the context, to deactivate, to abort or to terminate or to interrupt their functioning and use as necessary and to limit their function of auto initiation.",,,,,[04] Support,""" human control "", includes the following elements : [...] the capacity to limit the scope and the scale of use of the weapons system, including in terms of time and space, and to restrict their parameters and capacity to select objectives. So that means the capacity to select. Thirdly, the capacity to understand and explain the functioning of the weapons system, looking to be able to provide a retrospective explanation which would satisfy legal and other types of requirements relating to the functioning of the weapons system, including attribution of responsibility and accountability.",,,,
AUSTRALIA,10:32:48,0:00:00,0:07:18,,,,,[04] Support,"operating outside a responsible chain of command as an element making a laws incompatible with IHL, once again we think this element as described in this paper goes to how a weapon system is used and is best dealt with in Tier 2. We agree with the proposition that laws should only be deployed and operated within a responsible chain of human command and control and this idea is reflected in draft Article 6.1 C of our joint proposal as a regulatory measure to ensure accountability. [...] We agree with the idea that our laws must be used within a responsible human chain of command and control.",,,,,,,,,,,,,[04] Support,DEPLOY: laws should only be deployed and operated within a responsible chain of human command and control,[01] Caveat,Use/ACT: how a weapon system is used and is best dealt with in [the regulations]. [...] We agree with the idea that [LAWS] must be used within a responsible human chain of command and control.,[04] Support,"EF: Regarding how we conceptualize human control and involvement in the context of the two-tier approach, we note that IHL addresses the legality of weapons in two ways. Firstly, it prohibits types of weapons based on intrinsic characteristics and effects ",,,[99] Something else,"The idea of a weapon system operating in the absence of any human involvement or control or what some Delegations describe as fully autonomous weapon systems is also somewhat implausible from our perspective, since a human will always be involved in programming, activating or setting parameters for the weapon system.",,,,
ISRAEL,11:29:13,0:00:00,0:04:33,,,,,,,,,,,,,,,,,,,,,,,,,[02] Willing to negotiate,"We suggest rephrasing the sentence in the following manner, "" ensure that there is appropriate control and human judgment across the life cycle of laws. "" We emphasize that it is important to retain the word "" appropriate [they are willing to negotiate text on this if done with specific wording]",,,,,,
RUSSIAN FEDERATION,11:18:28,0:00:00,0:12:08,,,,,,,[00] Oppose,CF: We are in favor of ensuring human control in general without any exceptions in terms of whether it is meaningful or not meaningful and without separating or highlighting any critical functions of weapon systems over which such control should be exercised and putting aside any other functions where such human control may not exist,,,,,,,,,,,,,,,,,[04] Support,human control should be exercised during all stages of the life cycle.,,,,,,
UNITED KINGDOM,17:07:50,0:00:00,0:05:44,,,[04] Support,"Depending on the context of use and the nature of the autonomous functions of the weapon system, appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation.",,,,,,,,,,,[04] Support,"DEV: appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation",[04] Support,"TES: appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test",[04] Support,"DEPLOY: Depending on the context of use and the nature of the autonomous functions of the weapon system, appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation",[01] Caveat,"Use/ACT: not the case that weapon systems that only require nominal human input after activation cannot operate with context appropriate human involvement and judgment. Depending on the context of use and the nature of the autonomous functions of the weapon system, appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation. Priority use controls can also be applied for the bounding of autonomous behaviors and placing geographic and temporal limits. While it is true that autonomous weapon systems can include systems that can operate without intervention or with only nominal intervention post activation, the same weapon may be able to be used with various levels of autonomy. Therefore, any agreed characterization should not equate the ability to operate without intervention or with only nominal intervention as the sole operating model for these systems.",,,[04] Support,"appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation",,,,,,
SWITZERLAND,10:43:19,0:00:00,0:03:06,,,,,,,[04] Support,"TGT: human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon. Human control and we have heard and said that many times can be exercised in various ways throughout the life cycle, the different phases of the life cycle of a weapon and notably in the targeting cycle.",,,,,,,,,,,,,[03] Direct use,"Use: In order to ensure human responsibility for decisions on the use of weapon systems, a certain degree of human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon. Human control and we have heard and said that many times can be exercised in various ways throughout the life cycle, the different phases of the life cycle of a weapon and notably in the targeting cycle. [...] As a general assumption, the more significant human involvement in a specific use of an autonomous weapon system is, the easier it will be to assign individual responsibility.",,,[98] Unclear,"a certain degree of human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon. [...] can be exercised in various ways throughout the life cycle, the different phases of the life cycle of a weapon and notably in the targeting cycle.",,,,,,
JAPAN,11:19:20,0:00:00,0:03:30,,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: [deployment] Japan believes that existence or absence of human involvement is not a concept that is explicitly stated in IHL However, because the absence of human involvement can lead to the inability to operate as intended by the user and in turn can lead to unforeseen harm to civilians. So we place importance on the operation within the human chain of command and on appropriate human judgment.",,,,,,,,,,
UNITED KINGDOM,17:29:30,0:00:00,0:03:25,,,,,,,[99] Something else,"ENG: principles that this definition is starting to alight on is that we are looking at weapon systems which once activated perform some or all of the decision making functions within an engagement process such as detecting, identifying, selecting and engaging in order to apply force without the requirement for but not excluding the possibility for further human involvement.",,,,,[98] Unclear,"[characterizations] systems which once activated perform some or all of the decision making functions within an engagement process such as detecting, identifying, selecting and engaging in order to apply force without the requirement for but not excluding the possibility for further human involvement",,,,,,,[99] Something else,u/ACT:  [characterization],,,,,,,,,,
PANAMA,11:33:27,0:00:00,0:03:35,,,,,,,,,,,,,,,,,,,,,[04] Support,"Use: We also support the idea that after human control that we change the wording to refer to uses and effects, human control over the use and effects of weapons systems. ",[04] Support,"EF: We also support the idea that after human control that we change the wording to refer to uses and effects, human control over the use and effects of weapons systems.",[04] Support,need to maintain human control throughout the life cycle of these systems,,,,,,
FINLAND,11:15:04,0:00:00,0:03:54,,,,,,,,,,,,,[01] Caveat,"formulation draws parallels between appropriate control and human judgment. Even though these are not equal requirements in this context. More importantly, we find both formulations to leave too much room for interpretation. Especially appropriate control in our view raises questions how would it be defined in practice",,,,,,,[04] Support,"Use/ACT: [...] Firstly, systems that do not allow virtual human intervention after activation and act therefore completely outside the human control and responsible chain of command are prohibited. [...] Regarding the restrictions part of the rolling text, there is a common understanding on the necessity of retaining the appropriate level of human judgment in the use of laws in order to ensure that they are operated according to the rules of IHL",,,[04] Support,States must ensure that their military is operate laws with appropriate control and human judgment across the entire life cycle of the weapon system,,,,,,
GERMANY,11:26:37,0:00:00,0:04:03,,,,,,,,,,,,,,,,,,,,,[04] Support,Use/a: affirming the enormous importance of aspects related to the concept of human control with regard to the use of force,,,[04] Support,ensure that human control can be maintained during the whole life cycle,,,,,,
MEXICO,11:43:14,0:00:00,0:01:36,,,,,,,,,,,[04] Support,CTRLOVW: vital to maintain human control over weapon systems,,,,,,,,,[04] Support,Use: The ethical dimension of IHL states that the means and methods of warfare are not limited and that the use of force must be guided by the principles of humanity and public conscience which by definition only correspond to people,,,[04] Support,human control throughout the life cycle of the weapon to avoid an arbitrary decision being taken over the life or death of human beings,,,,,,
RUSSIAN FEDERATION,16:32:22,0:00:00,0:07:00,,,,,,,[00] Oppose,CF: trying to identify the specific functions where human control will apply is something that is counterproductive and not really advisable because of the different views that Delegations have on that subject and also this relates to the factor of the responsibilities that states have in complying with their international obligations including in the area of IHL where there is a clear definition of the responsibility of states' parties,,,,,,,,,,,,,[04] Support,Use:  we find that for ensuring relevant human control related to the use of different weapons systems and this obviously refers to the entire life cycle of such weapons systems and that understanding if I am not mistaken is something that we agreed to on the basis of consensus as one of the guidelines and also as one of the conclusions that this GGE made in the past,,,[04] Support,IHL where there is a clear definition of the responsibility of states' parties for ensuring relevant human control related to the use of different weapons systems and this obviously refers to the entire life cycle of such weapons systems and that understanding if I am not mistaken is something that we agreed to on the basis of consensus as one of the guidelines and also as one of the conclusions that this GGE made in the past.,,,,,,
JAPAN,16:05:54,0:00:00,0:02:38,,,,,[04] Support,important that humans are involved responsibly throughout the weapons life cycle and especially that such weapon systems should be used under the responsibility of the human command and control,,,,,,,,,,,,,,,[04] Support,Use: it is important that humans are involved responsibly throughout the weapons life cycle and especially that such weapon systems should be used under the responsibility of the human command and control,,,[04] Support,it is important that humans are involved responsibly throughout the weapons life cycle,,,,,,
FRANCE,11:15:40,0:00:00,0:01:40,,,,,,,,,,,,,,,,,,,,,[04] Support,"Use: use of little autonomous weapons systems must be under the responsibility of human control and that responsibility, as you have said, must be involved if there is a grave violation of IHL. So human command, that is the first thing and second thing, maintaining human appropriate control so that future weapons systems throughout their life cycle are in keeping with IHL and under responsible human control.",,,[04] Support,human appropriate control so that future weapons systems throughout their life cycle,,,,,,
LUXEMBOURG,12:02:35,0:00:00,0:02:52,,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: international humanitarian law at its distinction, proportionality, and the precautionary principle. It is vital that decisions can be taken in line with these principles for the use of laws",,,[04] Support,throughout the whole life cycle of these systems there must be meaningful human control,,,,,,
COLOMBIA,12:20:08,0:00:00,0:03:33,,,,,,,,,,,,,,,,,,,,,,,,,[04] Support,meaningful human control throughout the entirety of the life cycle,,,,,,
GERMANY,17:41:40,0:00:00,0:01:01,,,,,,,,,,,,,,,,,,,,,,,,,[04] Support,ensure appropriate human control over the life cycle,,,,,,
NEW ZEALAND,12:00:54,0:00:00,0:03:57,,,,,,,[04] Support,"TGT/ENG: Below the threshold of fully autonomous systems, there is a spectrum of weapon systems that have varying opportunities for human control over or involvement in targeting and engagement decisions. This is not the subjective view of New Zealand but a technological fact. As many in this room know, New Zealand has theoretical and practical questions about the absence of humans from critical decision making steps in the selection and engagement of targets. These questions are driven by legal, ethical, humanitarian and international stability concerns.",,,,,,,[99] Something else,DEV: [developing norms] new IHL should be developed,,,,,,,,,[04] Support,ensure that there is sufficient human control or oversight throughout the life cycle,,,,,,
GERMANY,16:12:37,0:00:00,0:02:46,,,,,,,,,,,,,,,,,,,,,,,[04] Support,"EF: Allow me to particularly highlight our support [for the language] effects cannot be limited, anticipated and controlled",,,,,,,,
AUSTRALIA,10:35:53,0:00:00,0:07:13,,,,,,,[99] Something else,ENG: [unintended engagements],[99] Something else,CONS/a: [consequences of risks],,,,,,,,,,,[04] Support,"Use: [risk mitigation, example] the lack of human judgment in the design or use of a system may lead to risks of noncompliance with IHL",[99] Something else,a/EF: some of the points outlined are not risks of themselves. [but] effects of risks.,,,,,,,,
RUSSIAN FEDERATION,16:25:04,0:00:00,0:23:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,16:47:42,0:00:00,0:05:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRELAND,12:07:29,0:00:00,0:03:39,,,,,,,[04] Support,TGT: decisions to deploy and use autonomous weapon systems must be retained within a responsible chain of human control and command. This includes exploring constraints on the targets,,,[04] Support,CTRLOVW: necessity of retaining human control over the weapon systems is critical.,,,,,[99] Something else,EVAL: [use] value of human judgment within the conduct of hostilities which calls for context specific evaluations to be made,,,[04] Support,Use: decisions to deploy and use autonomous weapon systems must be retained within a responsible chain of human control and command. [...] value of human judgment within the conduct of hostilities which calls for context specific evaluations to be made.,,,,,,,,,,
RUSSIAN FEDERATION,10:23:04,0:00:00,0:07:54,,,,,,,,,,,,,,,[98] Unclear,DEV: [risk mitigation measures] can be clustered under certain thematic issues because some of them relate to ensuring human control. Some of these measures relate to questions of ensuring control during the phase of development,,,,,,,,,,"that eventually could be agreed to on the basis of the principle of consensus by all Delegations. Now on the question of risk mitigation, one of the effective ways of mitigating risks, we consider the following measures. The effective management of the life cycle, organization of different types of tests during all stages of the life cycle",,,,,,
IRELAND,15:27:09,0:00:00,0:03:09,,,[03] Direct use,"Additionally, and as our colleagues in the ICRC have highlighted, in such systems, target selection is based on a generalized target profile that is unlikely to be able to account for the non-exhaustive range of contextual signals showing that a person is protected from attack. Whilst the user or commander may have made a general assessment that one or more people in the area constitutes a lawful target at the time of launching the autonomous weapons system, those people's actions, intentions and physical state and hence their qualification as a lawful target can change rapidly.",,,[04] Support,"TGT: refer to autonomous weapons systems that cannot distinguish between military and civilian targets. [...]. Additionally, and as our colleagues in the ICRC have highlighted, in such systems, target selection is based on a generalized target profile that is unlikely to be able to account for the non-exhaustive range of contextual signals showing that a person is protected from attack. Whilst the user or commander may have made a general assessment that one or more people in the area constitutes a lawful target at the time of launching the autonomous weapons system, those people's actions, intentions and physical state and hence their qualification as a lawful target can change rapidly.",[99] Something else,"ATK: [critical functions] autonomous weapons systems which rely on artificial intelligence techniques, on machine learning and which prevent the human user from being able to understand, predict or explain the system's output. This impossibility effectively results in a lack of control over the weapons effects, making it potentially indiscriminate by nature. We refer here to what is commonly called the black box challenge and which refers to the design of autonomous weapons systems that arrive at conclusions or decisions without providing any explanation as to how they were reached. Additionally, and as our colleagues in the ICRC have highlighted, in such systems, target selection is based on a generalized target profile that is unlikely to be able to account for the non-exhaustive range of contextual signals showing that a person is protected from attack. ",[99] Something else,CTRLOVW; [effects] lack of control over the weapons effects,,,[99] Something else,"RES/d: [research on policy debate] scientific, academic and civil society research contributions ",,,[04] Support,"TARGPROF: and as our colleagues in the ICRC have highlighted, in such systems, target selection is based on a generalized target profile that is unlikely to be able to account for the non-exhaustive range of contextual signals showing that a person is protected from attack",[99] Something else,Use: [user],[03] Direct use,"AS/EF: Whilst the user or commander may have made a general assessment that one or more people in the area constitutes a lawful target at the time of launching the autonomous weapons system, those people's actions, intentions and physical state and hence their qualification as a lawful target can change rapidly. The IHL rule on distinction requires assessment on the concrete circumstances prevailing at the relevant time and place. ",,,,,,,,
