Speaker,Time,Date,Duration,Trimmed Statement,Operator,Notes,Commander,Notes,"CONS/a: lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors. In particular, such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors, the psychological and physical condition of the human being, moral, religious and ethical considerations",Notes,critical functions (target + engag*),Notes,consequence (attack),Notes,CTRL over laws,Notes,study or pre-research and development (require*),Notes,research and development (develop*),Notes,"Aquisition (testing and evaluation, validation and verification, and final legal review)",Notes,"Deployment phase (deploy/plan/standard operating procedure/ rules of engagement/target profile/"" train"")",Notes,"Use (activa, "" use"")",Notes,Post-Use,Notes,Life Cycle,Notes,parameters of use,Notes,environment,Notes,human-machine interaction,Notes
BRAZIL,10:38:42,0:00:00,0:03:08,"I asked for the floor again to react to some very interesting ideas and concepts that were presented in our debate yesterday and this morning and to clarify some of the points that we made yesterday. [...] Lastly on the fifth bullet, again I believe that human intervention or the alternative formulation intervention by an operator would be the best and this relates to the comments made yesterday by the Distinguished Delegation from India and today by the Distinguished Delegation of France.",[99] Something else,[characterization]  I believe that human intervention or the alternative formulation intervention by an operator would be the best and this relates to the comments made yesterday by the Distinguished Delegation from India and today by the Distinguished Delegation of France.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,11:33:44,0:00:00,0:03:11,"Now bullet 1 and 2 seem to cover the first category. If a machine operates completely outside human control, then there can be no accountability under IHL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,12:13:39,0:00:00,0:01:53,For Colombia it would be better to refer to meaningful human control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,17:33:28,0:00:00,0:03:12,There is a specific problem when we take this notion that autonomy is absolute and that autonomy would mean that there is absolutely no human control. [...] Our position is maybe a little bit complicated in that regard that we are very much an advocate for positive obligations when it comes to human control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,11:49:08,0:00:00,0:02:31,Respect of IHL requires human control and these two aspects are intrinsically linked. We are now impatient to dive into work on these questions on the basis of your indicative timetable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKIYE,15:52:58,0:00:00,0:02:08,"However, the term nominal human input in the second paragraph is ambitious and subject to different interpretations. The second part of the sentence is insufficient to clarify the said term. We prefer to avoid using this term unless its definition is explained without the possibility of leading interpretations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,10:37:33,0:00:00,0:02:23,"After the intervention of the civilian agenda and also today, I think this is definitely something we should look into to not have this accidental loophole. The question is how to fill it if it has to be with a longer formulation or if we can actually also fill it somehow with a short introduction in the first formulation that we are usually using by, for example, without further meaningful human intervention or something like this. [...] There might be better formulations or better solutions to fix this. But the argumentation that we could actually have a situation where the definition could be switched in and out or that states or actors could find loopholes to make something not an oath and forego regulation or prohibition is something we should actually consider.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,16:34:51,0:00:00,0:03:44,"As to the first sentence, we like Austria note that this is very similar to the definition proposed by the ICRC, which Brazil supports, and in this regard we also second this notion that Austria put forward that the last part, the last sentence should be without further human intervention instead of the information that we see there just to avoid possible misunderstandings and lack of clarity. [...] On the issue of nominal control, Chair, we do see value in the formulation you proposed. I understand as well that some Delegations are not comfortable with this concept. Maybe we could make it clearer if we change the formulation that we see there in this sentence thus operating with understood as those that operate. So we are clearly linking this concept of nominal human input to the lack of context appropriate human involvement and judgment. As to the third sentence, we hear the observations made by the US Delegation as to the exclusion of remote controlled. We do understand that a lot of systems that are remote controlled can incorporate autonomy, but I think that those if they do, and this is not all of them, would fall within the scope of the first paragraph. So I would not be concerned with this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE OF PALESTINE,11:31:01,0:00:00,0:03:37,We acknowledge the important clarification regarding nominal human input and consider this a vital element of the framework.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,12:23:39,0:00:00,0:04:24,"[...] when we talk about human intervention, we think that human intervention is too broad a concept. We prefer the concept of involvement because it is clear, involvement actually of an operator because human intervention could be anyone, could be it is not sufficiently focused but as I said also in a previous intervention, I think that we look with favor at the concept of agency because, in fact, we are not talking about just operating the system. We are talking about making decisions, making decisions on, you know, what to what target to engage and this is crucial because at the end of the day we are talking about international humanitarian law and responsibility of an agent, someone who should be responsible under international humanitarian law for the operation of a system and as I said, for the final decision along the various critical functions that is that of applying force engaging a target.",[04] Support,"when we talk about human intervention, we think that human intervention is too broad a concept. We prefer the concept of involvement because it is clear, involvement actually of an operator because human intervention could be anyone, could be it is not sufficiently focused but as I said also in a previous intervention",,,,,[03] Direct use,"CF/TGT/ENG: We are talking about making decisions, making decisions on, you know, what to what target to engage and this is crucial because at the end of the day we are talking about international humanitarian law and responsibility of an agent, someone who should be responsible under international humanitarian law for the operation of a system and as I said, for the final decision along the various critical functions that is that of applying force engaging a target.",,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,15:16:23,0:00:00,0:02:46,Areas of divergence include the need for a legally binding instrument and the manner of human involvement where differences still exist over terminology as well as the requirement for real time supervision.,,,,,,,,,,,,,[01] Caveat,Areas of divergence include the need for a legally binding instrument and the manner of human involvement where differences still exist over terminology as well as the requirement for real time supervision.,,,,,,,,,,,,,,,,,,
ISRAEL,16:38:51,0:00:00,0:07:05,"On the topic of characterization, as a means of a preliminary reaction to the different suggestions in the rolling text and without expressing a definitive or comprehensive view on the subject of characterizations, we have several comments. [...] Regarding the second paragraph, we wish to point out that the wording nominal human input and context appropriate human involvement are new and not based on previously agreed text. More importantly, they are quite vague and may be counterproductive in promoting a common understanding regarding which system amounts to lethal autonomous weapon systems and which does not. We suggest deleting the paragraph as a whole.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,10:15:08,0:00:00,0:05:11,"In our approach, laws that operate completely outside human control and a responsible chain of command should be prohibited. [...] On the final bullet, the word "" further "" is certainly key. We need to reflect on how specific we want to be when it comes to human intervention or involvement, whether it is necessary to refer to the individual operator and what that implies in terms of decision making, which is also why we look with interest at the definition of human agency. This entire sentence, this entire definition conforms the basis for determining not only laws, completely autonomous systems but also systems which will be regulated, which have autonomous functions. If you remove or change one of the elements that made up the entire definition, then you have a system that is not fully automated and therefore in our view needs to be regulated.",[04] Support,"We need to reflect on how specific we want to be when it comes to human intervention or involvement, whether it is necessary to refer to the individual operator and what that implies in terms of decision making",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,16:51:22,0:00:00,0:02:18,"We believe that greater clarity on the concept of nominal human input is needed, especially if it were to be part of a working characterization that would become a reference point for the work of this group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL,13:04:53,0:00:00,0:01:12,"We only have two brief comments on this section. Regarding Paragraph 3, it looks like the paragraph is based on the agreed language of guiding principle D but there are a few changes made to the text and we would propose aligning this text with guiding principle D so that it would read accountability for developing, deploying and using any emerging weapons system in the framework of the CCW must be ensured in accordance with the applicable international law including through the operation of such systems within a responsible chain of human command and control.",,,,,[03] Direct use,"we would propose aligning this text with guiding principle D so that it would read accountability for developing, deploying and using any emerging weapons system in the framework of the CCW must be ensured in accordance with the applicable international law including through the operation of such systems within a responsible chain of human command and control.",,,,,,,,,[04] Support,"DEV: we would propose aligning this text with guiding principle D so that it would read accountability for developing,",,,[04] Support,DEPLOY: deploying and using any emerging weapons system in the framework of the CCW must be ensured in accordance with the applicable international law,,,,,,,,,,,,
AUSTRIA,17:20:51,0:00:00,0:02:44,"We believe that there are certain other elements that also should fall in the first tier as part of prohibitions and this should also include meaningful human control. There I have to clarify that what we meant with specifying it and making it a positive obligation is something that is more something that states can do is related to this. So there should be a prohibition. If there is no meaningful human control, it should be prohibited. But we also need to make very clear in possible instrument how this meaningful human control can be achieved, what kind of measures must be taken by states to achieve this so that this is not just an empty shell of a word but that it is actually filled with life and something that states can apply. Otherwise we are getting in the legal problems that actually many Delegations fear when we go into the human control debate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,15:25:07,0:00:00,0:01:01,"We assume that some of the aspects that were deleted, such as the one in our view pivotal requirement of human control will be discussed at a later point in this document as you have indicated.",,,,,,,,,,,,,[04] Support,"We assume that some of the aspects that were deleted, such as the one in our view pivotal requirement of human control will be discussed at a later point in this document as you have indicated.",,,,,,,,,,,,,,,,,,
IRELAND,10:57:43,0:00:00,0:01:24,"Thank you, Chair. We have a few comments to make regarding nominal human input especially and attempting to find clarity here. As you are aware over the years it has been difficult to reach agreement on what is meant by meaningful human control or human intervention. Instead as mentioned by Pakistan just now we also suggest that we can define what it is not so as to not create any loopholes in the characterization. Indeed that is where nominal human input comes in. For my Delegation nominal human input refers to minimal or limited involvement of a human operator where the human only plays a supervisory role and has no control over the weapons actions in particular during targeting and engagement stages. Its inclusion in the characterization is important here clarifying that this type of nominal human input does not allow for context appropriate human involvement and judgment or human control and therefore does not meet the criteria needed to ensure compliance with IHL and would fall under the scope of prohibitions and restrictions.",[03] Direct use,For my Delegation nominal human input refers to minimal or limited involvement of a human operator where the human only plays a supervisory role and has no control over the weapons actions in particular during targeting and engagement stages.,,,,,[04] Support,TGT/ENG: For my Delegation nominal human input refers to minimal or limited involvement of a human operator where the human only plays a supervisory role and has no control over the weapons actions in particular during targeting and engagement stages. Its inclusion in the characterization is important here clarifying that this type of nominal human input does not allow for context appropriate human involvement and judgment or human control and therefore does not meet the criteria needed to ensure compliance with IHL and would fall under the scope of prohibitions and restrictions.,,,[04] Support,CTRLOVW: nominal human input refers to minimal or limited involvement of a human operator where the human only plays a supervisory role and has no control over the weapons actions in particular during targeting and engagement stages.,,,,,,,,,,,,,,,,,,,,
BRAZIL,10:59:23,0:00:00,0:04:46,"I would like to come back to a few points after hearing Delegations yesterday and today, in particular when it comes to the first part of this text, the characterization, the general characterization of autonomous weapons systems. [...] We also believe like others that the third paragraph that you have included is an excellent suggestion and that we by retaining it in the characterization section we would deal with an important risk of exploitation of loopholes in this characterization. We do believe that some clear and objective way of defining what we mean by nominal human input could be achieved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANAMA,17:15:42,0:00:00,0:02:58,"And still on the same paragraph on the last line, instead of referring to a human operator we think it would be better to say a human intervention. The aim there is to cover all persons who intervene in the command chain. This is not only limited to the responsibility that a human operator may have.",[99] Something else,[characterization] instead of referring to a human operator we think it would be better to say a human intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,15:45:24,0:00:00,0:02:25,"Like the Panamanian Delegation before me, I would like to refer to the fact that we have been working on the concept of human intervention, but like the Irish colleague, we think that it would be clearer if we added nominal input. This would close the loophole that could be created if we were to deal only with such general concepts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,12:03:40,0:00:00,0:01:17,"We find it important to differentiate between fully and partially autonomous weapons systems or the two tiers. In general, autonomy is absolute. Therefore, autonomy without further explanation is understood as full autonomy. Therefore, fully autonomous weapons systems or lethal weapons systems would perform complex actions, learn and decisively formulate new rules if necessary without human validation. They would operate completely outside human control. By contrast, partially autonomous systems are not autonomous in the proper sense since their framework of action is determined by the human programmer. The margin of scope of action is confined to the selection amongst different options of action preprogrammed or at least in case of learning systems set by the human operator.",[99] Something else,"[characterization] fully autonomous weapons systems or lethal weapons systems would perform complex actions, learn and decisively formulate new rules if necessary without human validation. They would operate completely outside human control. By contrast, partially autonomous systems are not autonomous in the proper sense since their framework of action is determined by the human programmer. The margin of scope of action is confined to the selection amongst different options of action preprogrammed or at least in case of learning systems set by the human operator.",,,,,,,,,,,,,,,[99] Something else,"VAL: [characterization] fully autonomous weapons systems or lethal weapons systems would perform complex actions, learn and decisively formulate new rules if necessary without human validation",,,,,,,,,,,,,,
SWITZERLAND,12:05:20,0:00:00,0:04:55,"On these specific points on the slide, we quite like the Brazilian contribution, the degree in which a system can perform critical functions without human intervention. This picks up the critical functions. This picks up the discussion we had about human intervention. It reflects that it is not black or white. It is not an on and off. It is a differentiation that is needed. We would consider this dimension is really at the core of what we seek to capture in the context of this GGE. In a self-sufficient or self-governing manner, these terms to us seem unnecessarily complicated. What if a system is not throughout self-sufficient but only in certain phases? A hypothetical example, what if another system, a system B, so to say, governs the autonomy of system A? We should not include overly complicated concepts here. The same applies with the notion about programming sensors and algorithms. That is a good description, good enumeration of things, but here we see the risk that we are looking at this in a cumulative manner. Does it really need to have all these components?",,,,,,,[99] Something else,"CF/e: [characterization] we quite like the Brazilian contribution, the degree in which a system can perform critical functions without human intervention. This picks up the critical functions. This picks up the discussion we had about human intervention. It reflects that it is not black or white. It is not an on and off. It is a differentiation that is needed. We would consider this dimension is really at the core of what we seek to capture in the context of this GGE",,,,,,,,,,,,,,,,,,,,,,,,
PANAMA,15:34:21,0:00:00,0:03:24,"With regard to the first paragraph, I would like to thank you for changing the wording at the end of it in order to include the concept of human intervention. We think that this is the most suitable approach, bearing in mind that when the law system starts to operate, there are many chains in the command, and this is going to be very important when we refer to accountability and attributing responsibility. Whilst we welcome the inclusion of a footnote to clarify the scope of the concept lethal, we think that this footnote should be incorporated into the first paragraph. It should be placed after the reference to human intervention. So we think that it should be incorporated into the body of the text. We heard a proposal to remove that reference to objects. We think that they should be retained because under international humanitarian law, there are places and objects such as hospitals, ambulances, cultural heritage sites which are protected. So attacking them is prohibited. International humanitarian law also prohibits attacking anything which is vital for the survival of civilians. So including lethal covering death, injury, destruction or damage to persons or objects is important. We must have objects as well so that we are consistent with international humanitarian law and customary law. Lastly, we also think that in any case we should retain a reference to nominal human input. This could be developed further in other parts of the instrument but it should be referred to here. This is because we think that it should be encompassed by the characterization. The characterization must refer to the human control.",,,,,,,,,[04] Support,"ATK: human intervention. So we think that it should be incorporated into the body of the text. We heard a proposal to remove that reference to objects. We think that they should be retained because under international humanitarian law, there are places and objects such as hospitals, ambulances, cultural heritage sites which are protected. So attacking them is prohibited. International humanitarian law also prohibits attacking anything which is vital for the survival of civilians",,,,,[99] Something else,DEV: [developing norms] nominal human input. This could be developed,,,,,,,,,,,,,,,,
ARGENTINA,16:02:45,0:00:00,0:02:25,"The concepts of selection, targeting, commitment and the implementation without human intervention which are maintained by the ICRC bring more clarity to define autonomous weapon systems and they allow for subsequent fine-tuning of the definition.",,,,,,,[99] Something else,"TGT: [characterization] The concepts of selection, targeting, commitment and the implementation without human intervention which are maintained by the ICRC bring more clarity to define autonomous weapon systems and they allow for subsequent fine-tuning of the definition.",,,,,,,,,,,,,,,,,,,,,,,,
CHINA,17:53:32,0:00:00,0:03:51,"Certain scholars mentioned concerns should be on the capability of the weapon systems to search, discover, identify, assess, engage, track and launch force against certain targets without the human intervention. China would recommend that we can further deepen our discussions on this.",,,,,,,[04] Support,"TGT/ENG: scholars mentioned concerns should be on the capability of the weapon systems to search, discover, identify, assess, engage, track and launch force against certain targets without the human intervention. China would recommend that we can further deepen our discussions on this.",,,,,,,,,,,,,,,,,,,,,,,,
CHINA,16:55:35,0:00:00,0:04:11,"From a technical point of view, autonomous functions may be involved in different parts of the weapons systems mission chains but it is these autonomous functions in the kill chain that really has a key impact which may lead to laws performing kill missions with results that are inconsistent or contrary to the intention of the human operator or even lead to indiscriminate killing or injury. Therefore, the working characterization of laws should emphasize the autonomy in the kill chain.",[03] Direct use,"autonomous functions may be involved in different parts of the weapons systems mission chains but it is these autonomous functions in the kill chain that really has a key impact which may lead to laws performing kill missions with results that are inconsistent or contrary to the intention of the human operator or even lead to indiscriminate killing or injury. Therefore, the working characterization of laws should emphasize the autonomy in the kill chain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,11:17:59,0:00:00,0:06:43,"Just two last remarks on the proposal on the table. I think we would have a strong reservation on the lethal when it comes to the US proposal about apply lethal force and this just is reinforced by the many arguments that have been on the table already with having lethal already in the title. [...] We, as I mentioned before, have a strong preference for the human intervention. Here we concur completely with Pakistan when it comes to the operator question that if we focus too much in the definition part on the operator, we exclude a little bit the state side and the big questions that we still have to discuss with regard to accountability and responsibility and the word any is simply also too absolute for us. It creates many problems in this direction and we prefer, as I mentioned before, the human intervention but have problems particularly with those two words, with the words any and with referring only to an operator.",[99] Something else,"[does not talk about control] have a strong preference for the human intervention. Here we concur completely with Pakistan when it comes to the operator question that if we focus too much in the definition part on the operator, we exclude a little bit the state side and the big questions that we still have to discuss with regard to accountability and responsibility and the word any is simply also too absolute for us. It creates many problems in this direction and we prefer, as I mentioned before, the human intervention but have problems particularly with those two words, with the words any and with referring only to an operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,16:21:09,0:00:00,0:04:16,"In our view, this also relates to human control. We see human control here as the first point operating completely outside or the absence of meaningful human control. In the essence, we could agree with this. But as the US also has pointed out, it is not very clear as it is. It is not a category of existing IHL. So what we have to do, we have to fill it with substance. And this is, for example, one of the things that we tried to do in our working paper of last year and the result that will hopefully at some point will come to light is that human control has to be built. It has to be achieved by setting specific measures. It is not just there out of the blue. It is not jumping out of the box. You have to do something to achieve human control.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SALVADOR,10:27:46,0:00:00,0:02:52,"On the last bullet item, we believe that it is essential to keep a component on human intervention. We would even consider a human operator.",[04] Support,we believe that it is essential to keep a component on human intervention. We would even consider a human operator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,16:08:05,0:00:00,0:05:31,"We do understand that some Delegations have identified the idea of nominal human input. It is a fairly recent discussion if you think about the long course of our engagement on these issues. And we want to continue to engage on it. So over the course of today and tomorrow, we hope to understand better what it is we are trying to address, what problem we are trying to solve with the idea of identifying nominal human input. And as I think a few other Delegations have suggested, Switzerland and the ROK included, it may be that this is something that could be addressed later on in the document.",,,,,,,[99] Something else,ENG: [engagement in gge] long course of our engagement on these issues. And we want to continue to engage on it.,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN,17:05:10,0:00:00,0:02:26,"[...] as the other previous speakers stated, the words nominal human input are not clear. We need further discussions to understand what kind of measures are required by these words.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,11:09:31,0:00:00,0:05:46,"Coming now to the preliminary consideration, we are very much appreciated that this is previous agreed language. We know it quite well. There have been some slight changes and we would comment that we would like to change them slightly back which is especially the first para. When we adopted this in 2023 in the report, it was control over weapon systems and this is definitely something that we would need. It is a considerable difference if we say control with regard to weapon systems or control over weapon systems. We would like to have this change. Then there is also a difference in formulation at the end of this para because it was saying distinction proportionality and precautions in attack and the attack element is definitely important to us as well with regard to autonomous weapon systems. Then we all know that this has been a discussion in the room when we adopted this text and it was I think it was a close call if we could talk about human control in this formulation and we should definitely try to get the human back into this text. We would also propose that we start this para with human. We are fine with the second para. This is an important part out of our 2019 session and the work there. We also note that there were some other very essential elements in the 2019 report that could also be considered preliminary considerations. To some extent they could also be considered as part of the element of control but we would still like to pose it as an idea to include here. If you look at some of the formulations, some of the text that we have produced in 2019, there is also one element that says IHL requirements including inter alia distinction proportionality and precautions in the text must be applied by human operators and commanders through a chain of responsible command and control. What we really like in this text is the notion must be applied by human operators and commanders. This human element is already there in relation to the aspects that we are having here. We are flexible if this could be included somewhere in the paras that are already there or somewhere in an additional para as I mentioned it could also be part of the control section. Having said this, there is a little bit of a problem where we actually discuss the control element. We would be fine with having it as a preliminary consideration because it is such a crucial element but it definitely also has to have a more detailed part in the prohibitions and also in the control in the regulations part. So just to flag that where and how to balance the different the control, the human control aspect in the different parts of the text is something we have to look in a more comprehensive manner.",[04] Support,"element of control but we would still like to pose it as an idea to include here. If you look at some of the formulations, some of the text that we have produced in 2019, there is also one element that says IHL requirements including inter alia distinction proportionality and precautions in [...] [attacks] must be applied by human operators and commanders through a chain of responsible command and control. What we really like in this text is the notion must be applied by human operators and commanders.",[04] Support,"If you look at some of the formulations, some of the text that we have produced in 2019, there is also one element that says IHL requirements including inter alia distinction proportionality and precautions in the text must be applied by human operators and commanders through a chain of responsible command and control. What we really like in this text is the notion must be applied by human operators and commanders.",[04] Support,"If you look at some of the formulations, some of the text that we have produced in 2019, there is also one element that says IHL requirements including inter alia distinction proportionality and precautions in the text must be applied by human operators and commanders through a chain of responsible command and control.",,,[04] Support,ATK: distinction proportionality and precautions in attack and the attack element is definitely important to us as well with regard to autonomous weapon systems. Then we all know that this has been a discussion in the room when we adopted this text and it was I think it was a close call if we could talk about human control in this formulation and we should definitely try to get the human back into this text. We would also propose that we start this para with human.,[04] Support,"CTRLOVW: change them slightly back which is especially the first para. When we adopted this in 2023 in the report, it was control over weapon systems and this is definitely something that we would need. It is a considerable difference if we say control with regard to weapon systems or control over weapon systems.",[04] Support,"at the end of the human judgment paragraph to add in the words including the principles and requirements of distinction, proportionality and precautions in attack, just as you have above, just essentially to make the two paragraphs align.",,,,,,,,,,,,,,,,,,
PAKISTAN,16:11:26,0:00:00,0:05:19,"With regard to further human intervention, we would again appreciate the recent amendment to include the word human intervention. In our view, this very clearly establishes that the weapon system which [...] by design has the capability to select and engage a target without any further human intervention are included in this. So even if there are, of course, any instances which have been raised by a few Delegates here, they would still be included because the weapon system by design has the capability to perform those certain functions and they will be included in the scope of this instrument. We would certainly support the voices in favor of retention of a reference to nominal human input. We believe that that loophole that many of us have voiced before that needs to be addressed, that simply applying a nominal human input should not exclude, should not take the system out of the scope of this instrument.",,,,,,,[99] Something else,"TGT/ENG: [characterization] appreciate the recent amendment to include the word human intervention. In our view, this very clearly establishes that the weapon system which [...] by design has the capability to select and engage a target without any further human intervention are included in this.",,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,15:42:18,0:00:00,0:01:55,And in this new version we are surprised also the addition of significant human control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUXEMBOURG,12:37:39,0:00:00,0:01:12,"We consider that technological autonomy specifically revolves around how a system interacts with its human operator. Autonomy describes the dependence and the relationship between two entities. Therefore, autonomy is essentially concept of the interaction between humans and machines. Consequently, we think defining a system as autonomous solely based on its technical aspects is difficult. The determination of autonomy hinges on the relationship between humans and the system in question. The degree and spectrum of autonomy in critical functions should therefore always be linked to the concept of human intervention which leads us to our main objective, implementing human intervention in order to ensure IHL compliance.",[99] Something else,"[autonomy definition] that technological autonomy specifically revolves around how a system interacts with its human operator. Autonomy describes the dependence and the relationship between two entities. Therefore, autonomy is essentially concept of the interaction between humans and machines. Consequently, we think defining a system as autonomous solely based on its technical aspects is difficult.",,,,,[04] Support,"CF: The degree and spectrum of autonomy in critical functions should therefore always be linked to the concept of human intervention which leads us to our main objective, implementing human intervention in order to ensure IHL compliance",,,,,,,,,,,,,,,,,,,,,,,,
IRELAND,16:17:48,0:00:00,0:02:21,The second is that we believe that limiting further intervention to a single human operator could unnecessarily limit the range of agents that would be involved and thus suggest amending to can select and engage a target without further human intervention at the end of the paragraph. We welcome the second paragraph under characterization which helps to clarify the weapon systems under consideration in particular with regard to nominal human input which we would prefer to retain in this text where appropriate and echo Switzerland's comments in this regard. I also think the second half of that paragraph helps to clarify exactly what is meant by nominal human input. We believe that human control could be included at the end of the second paragraph which in our view better encapsulates human involvement and judgment towards the end of the sentence.,[01] Caveat,limiting further intervention to a single human operator could unnecessarily limit the range of agents that would be involved and thus suggest amending to can select and engage a target without further human intervention at the end of the paragraph.,,,,,[99] Something else,TGT/ENG: [characterization] limiting further intervention to a single human operator could unnecessarily limit the range of agents that would be involved and thus suggest amending to can select and engage a target without further human intervention at the end of the paragraph,,,,,,,,,,,,,,,,,,,,,,,,
NORWAY,17:57:48,0:00:00,0:01:49,"To our minds, we think selection and engagement probably would be very central, including probably also the application of force with the last very central element to be what is in the last bullet, however one would like to phrase it, human intervention or human involvement intervention by an operator. Of course, an important point was made earlier that you would like this human intervention to be of the right sort but introducing that sort of qualifier into a definition introduces vagueness that sometimes can lead to arguments about whether the human intervention was of the right sort. That being said, and that was the point that I wanted to make now at the end, is that it seems quite clear to me that the sort of human intervention that we are talking about is intervention related to the processes that we have indicated under bullets 3 and 4. Now whether that proviso, that it is that sort of human intervention that we would like to talk about needs to be made explicit in the definition is a question that I would not like to answer at this time but that is something that I pose to the group for consideration.",[99] Something else,"[characterization] we think selection and engagement probably would be very central, including probably also the application of force with the last very central element to be what is in the last bullet, however one would like to phrase it, human intervention or human involvement intervention by an operator",,,,,[99] Something else,"ENG: [characterization][risks] To our minds, we think selection and engagement probably would be very central, including probably also the application of force with the last very central element to be what is in the last bullet, however one would like to phrase it, human intervention or human involvement intervention by an operator [...] unintended engagements",,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,11:45:22,0:00:00,0:01:52,I think that this question could be perhaps reformulated to focus on the critical aspects that are related in particular to another concept that is crucial to our work which is human control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,11:28:15,0:00:00,0:00:50,"We consider considering the explanation or characterization and the question what functions of laws would be autonomous, we consider a fully autonomous weapon system or laws to be a system that operates completely outside of human control and a responsible chain of command.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND,15:55:31,0:00:00,0:06:06,"A number of Delegations have already talked about the inclusion of nominal human input. We think it is an important point to discuss and we congratulate you for having put it in here in this text, a text which overall is very focused on realistic. So we really like to have the opportunity to discuss this and in our view it really reflects that the human's role must go beyond the purely nominal input. It must have a certain quality, a quality that allows really some meaningful judgment, meaningful control, whatever we call it. It is not clear to us whether the characterization is the optimal place to put this notion of nominal input. It could also be elsewhere in prohibitions and restrictions and regulations part, but that remains to be seen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,12:05:40,0:00:00,0:02:30,"And so that is why meaningful human control is a crucial element for our Delegation. We think that the language of the text which we draft should reflect this concept of meaningful human control. Furthermore, like other Delegations, I would like to support the withdrawal of the word "" appropriate "" in Paragraph 5. We should have human control there in order to align the language with what we have decided on in other discussions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,16:49:01,0:00:00,0:01:25,"We can take a more positive view of terminology such as human control, meaningful or otherwise, if the related obligation is framed positively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,16:17:04,0:00:00,0:02:38,"Overall, this new characterization we believe is suitable and like Italy, we want to thank you for your efforts which are certainly leading us in the right direction. In the first paragraph, we support inserting human intervention that has the benefit of covering the entire command and control chain and being broader than the term human operator.",[01] Caveat,we support inserting human intervention that has the benefit of covering the entire command and control chain and being broader than the term human operator.,,,[99] Something else,[suggesting language without context] we support inserting human intervention that has the benefit of covering the entire command and control chain and being broader than the term human operator.,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,17:39:10,0:00:00,0:01:55,"Now my last point on the last bullet point, we believe that human intervention is the most appropriate language but we can also look at the proposal to look at the proposals related to human agency as an option.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,11:23:45,0:00:00,0:02:33,"We also just wanted to react to the discussion that we are having, especially to the discussion around the definition and characteristics coming again to a problem that could have been rather avoided or that is inherent to this whole discussion about definition and characteristics. If you talk about facts, then the Russian Federation is right on autonomous weapons is autonomous. That is very clear. And therefore, saying what kind of functions would be autonomous or talking about human intervention, if you are talking in this kind of terms, the Russian Federation is right.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULGARIA,12:51:32,0:00:00,0:00:44,We join all other Delegations in the call to add human to control in the first paragraph as we consider human control to be central to IHL compliance and ethical acceptability of autonomous weapons systems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
